State,Division,Date,Value
Pennsylvania,Middle_Atlantic,2023-03,2045.0
Illinois,East_North_Central,2023-03,1850.0
Indiana,East_North_Central,2023-03,2087.0
Michigan,East_North_Central,2023-03,1738.0
Ohio,East_North_Central,2023-03,3347.0
Wisconsin,East_North_Central,2023-03,1474.0
Iowa,West_North_Central,2023-03,1048.0
Kansas,West_North_Central,2023-03,548.0
Minnesota,West_North_Central,2023-03,1840.0
Missouri,West_North_Central,2023-03,1623.0
Nebraska,West_North_Central,2023-03,671.0
North_Dakota,West_North_Central,2023-03,216.0
South_Dakota,West_North_Central,2023-03,1120.0
Delaware,South_Atlantic,2023-03,536.0
District_of_Columbia,South_Atlantic,2023-03,129.0
Florida,South_Atlantic,2023-03,18743.0
Georgia,South_Atlantic,2023-03,5357.0
Maryland,South_Atlantic,2023-03,1035.0
North_Carolina,South_Atlantic,2023-03,8515.0
South_Carolina,South_Atlantic,2023-03,3820.0
Virginia,South_Atlantic,2023-03,3308.0
West_Virginia,South_Atlantic,2023-03,334.0
Alabama,East_South_Central,2023-03,2455.0
Kentucky,East_South_Central,2023-03,1637.0
Mississippi,East_South_Central,2023-03,625.0
Tennessee,East_South_Central,2023-03,3458.0
Arkansas,West_South_Central,2023-03,812.0
Louisiana,West_South_Central,2023-03,1234.0
Oklahoma,West_South_Central,2023-03,946.0
Texas,West_South_Central,2023-03,18896.0
Arizona,Mountain,2023-03,6525.0
Colorado,Mountain,2023-03,3580.0
Idaho,Mountain,2023-03,1297.0
Montana,Mountain,2023-03,468.0
Nevada,Mountain,2023-03,1781.0
New_Mexico,Mountain,2023-03,894.0
Utah,Mountain,2023-03,1928.0
Wyoming,Mountain,2023-03,157.0
Alaska,Pacific,2023-03,122.0
California,Pacific,2023-03,7410.0
Hawaii,Pacific,2023-03,300.0
Oregon,Pacific,2023-03,1442.0
Washington,Pacific,2023-03,3393.0
Connecticut,New_England,2023-02,493.0
Maine,New_England,2023-02,266.0
Massachusetts,New_England,2023-02,1165.0
New_Hampshire,New_England,2023-02,222.0
Rhode_Island,New_England,2023-02,87.0
Vermont,New_England,2023-02,84.0
New_Jersey,Middle_Atlantic,2023-02,1862.0
New_York,Middle_Atlantic,2023-02,1855.0
Pennsylvania,Middle_Atlantic,2023-02,1303.0
Illinois,East_North_Central,2023-02,784.0
Indiana,East_North_Central,2023-02,1466.0
Michigan,East_North_Central,2023-02,1008.0
Ohio,East_North_Central,2023-02,1605.0
Wisconsin,East_North_Central,2023-02,1101.0
Iowa,West_North_Central,2023-02,638.0
Kansas,West_North_Central,2023-02,349.0
Minnesota,West_North_Central,2023-02,1302.0
Missouri,West_North_Central,2023-02,1111.0
Nebraska,West_North_Central,2023-02,814.0
North_Dakota,West_North_Central,2023-02,253.0
South_Dakota,West_North_Central,2023-02,151.0
Delaware,South_Atlantic,2023-02,356.0
District_of_Columbia,South_Atlantic,2023-02,299.0
Florida,South_Atlantic,2023-02,16279.0
Georgia,South_Atlantic,2023-02,5136.0
Maryland,South_Atlantic,2023-02,1351.0
North_Carolina,South_Atlantic,2023-02,8095.0
South_Carolina,South_Atlantic,2023-02,3039.0
Virginia,South_Atlantic,2023-02,2642.0
West_Virginia,South_Atlantic,2023-02,239.0
Alabama,East_South_Central,2023-02,1518.0
